"22018","5","5","6","10","6","14","11","16","17","22","27","23","30","7"
"22019","4","4","15","11","6","13","10","19","10","20","24","30","28","10"
"22020","4","4","11","9","10","17","15","20","17","22","21","25","26","7"
"22021","5","5","5","10","10","16","13","19","17","25","23","28","27","11"
"22022","6","6","12","7","9","13","13","24","10","26","26","27","29","7"
"22023","2","2","6","15","8","12","16","18","16","19","22","27","31","9"
"22024","7","7","9","9","6","14","11","16","11","22","23","27","28","12"
"22025","3","3","11","12","11","13","14","18","20","24","25","30","29","11"
"22026","10","5","11","9","9","12","11","18","11","26","29","26","27","6"
"22027","5","8","13","8","7","12","14","21","17","25","24","28","33","8"
"22028","3","4","13","8","9","14","13","17","9","24","25","27","27","11"
"22029","2","3","11","5","9","14","13","18","15","27","24","26","29","12"
